impl,workload,nkeys,threads,nlocks,seconds,seed,run_id,total_ops,ops_per_s
striped,insert,10000,8,1024,2,123,1,104750157,5.23662e+07
striped,insert,10000,8,1024,2,123,2,106892232,5.34373e+07
striped,insert,10000,8,1024,2,123,3,107819156,5.39003e+07
striped,insert,10000,16,1024,2,123,1,121241026,6.05973e+07
striped,insert,10000,16,1024,2,123,2,123971116,6.19643e+07
striped,insert,10000,16,1024,2,123,3,114705877,5.733e+07
striped,insert,100000,1,1024,2,123,1,20280021,1.01395e+07
striped,insert,100000,1,1024,2,123,2,19197056,9.59744e+06
striped,insert,100000,1,1024,2,123,3,19018886,9.50845e+06
striped,insert,100000,2,1024,2,123,1,37193919,1.85956e+07
striped,insert,100000,2,1024,2,123,2,29629109,1.48135e+07
striped,insert,100000,2,1024,2,123,3,28411730,1.42047e+07
striped,insert,100000,4,1024,2,123,1,56894704,2.84456e+07
striped,insert,100000,4,1024,2,123,2,66122739,3.30577e+07
striped,insert,100000,4,1024,2,123,3,63739423,3.18669e+07
striped,insert,100000,8,1024,2,123,1,98111107,4.90467e+07
striped,insert,100000,8,1024,2,123,2,93608699,4.67957e+07
striped,insert,100000,8,1024,2,123,3,92306430,4.61442e+07
striped,insert,100000,16,1024,2,123,1,114307409,5.71327e+07
striped,insert,100000,16,1024,2,123,2,122648794,6.13013e+07
striped,insert,100000,16,1024,2,123,3,120185857,6.0069e+07
striped,insert,1000000,1,1024,2,123,1,7486110,3.7426e+06
striped,insert,1000000,1,1024,2,123,2,7825131,3.91217e+06
striped,insert,1000000,1,1024,2,123,3,8221168,4.11022e+06
striped,insert,1000000,2,1024,2,123,1,15303865,7.65126e+06
striped,insert,1000000,2,1024,2,123,2,14391126,7.19454e+06
striped,insert,1000000,2,1024,2,123,3,14235019,7.11667e+06
striped,insert,1000000,4,1024,2,123,1,27318533,1.36582e+07
striped,insert,1000000,4,1024,2,123,2,25417990,1.27074e+07
striped,insert,1000000,4,1024,2,123,3,26462249,1.323e+07
striped,insert,1000000,8,1024,2,123,1,41422648,2.07074e+07
striped,insert,1000000,8,1024,2,123,2,41252098,2.06221e+07
striped,insert,1000000,8,1024,2,123,3,39245631,1.96196e+07
striped,insert,1000000,16,1024,2,123,1,55089607,2.75334e+07
striped,insert,1000000,16,1024,2,123,2,60480213,3.02284e+07
striped,insert,1000000,16,1024,2,123,3,63253614,3.16162e+07
striped,mix7030,10000,1,1024,2,123,1,28009716,1.40033e+07
striped,mix7030,10000,1,1024,2,123,2,27336677,1.36668e+07
striped,mix7030,10000,1,1024,2,123,3,28734961,1.43659e+07
striped,mix7030,10000,2,1024,2,123,1,42344494,2.11705e+07
striped,mix7030,10000,2,1024,2,123,2,39561123,1.97781e+07
